SubmitTime,AcceptTime,HITId,AssignmentId,WorkerId,WorkerLocation,AssignmentStatus,AutoApprovalTime,duration,inputId,000000022892,000000402433,000000426166,000000576955,000000577862,pay
2021-05-07 22:38:48+09:00,2021-05-07 22:36:07+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3DY4FPOOA33VHY18CTV063Z16TYVR5,A40O6S62MI2VC,US,Submitted,2021-05-10 22:38:48+09:00,0:02:41,3DY46V3X3RXPEHOV9V0KZ4060RZ55T,"['zebra', 'horse', 'donkey', 'bird', 'eagle', 'hawk', 'dog', 'monkey', 'gorilla', 'chimpanze']",['pizza'],"['bike', 'bicycle']","['car', 'dirt bike', 'motorcycle', 'bicycle', 'bicyclist', 'bike', 'horse']",['giraffe'],0.18
2021-05-07 22:40:38+09:00,2021-05-07 22:37:52+09:00,36GJS3V78W5SETU7PRI3GRFAM0SGJJ,3RGU30DZTCNVTNOMQWL0HGUX5JTJML,A340FMNO9WJG4J,US,Submitted,2021-05-10 22:40:38+09:00,0:02:46,3XLBSAQ9Z6R28ZM34CMXMSLXSW1Z78,"['dog', 'bear', 'cat']","['fish', 'shell', 'flower', 'pizza']","['bike', 'wheel', 'tire', 'street', 'bicyle', 'beach', 'boardwalk', 'brick', 'person', 'bikes']","['beach', 'trees', 'starry night', 'space', 'water', 'hair', 'liquid', 'food', 'river', 'coffee']",['giraffe'],0.18
2021-05-07 22:41:03+09:00,2021-05-07 22:38:39+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3SPJ033423IVN4D09Z9BBBH4ET7JYB,A38ZLHQKD09JMM,US,Submitted,2021-05-10 22:41:03+09:00,0:02:24,3HRMW88U185ORHN04OBUZBF15EDM0E,"['volcano', 'mountain', 'person', 'lion', 'wolf', 'animal', 'cat']",['pizza'],"['wall', 'chair', 'bike', 'bicycle']","['coffee', 'cake', 'chocolate', 'tree', 'stump', 'guitar', 'violin', 'instrument', 'horse']","['blanket', 'giraffe']",0.18
2021-05-07 22:41:10+09:00,2021-05-07 22:37:21+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3UXUOQ9OKGC17REVSK6Y5ZUOK74A7L,A30AJ8U79CEFE0,US,Submitted,2021-05-10 22:41:10+09:00,0:03:49,3L70J4KAZI1HO0F5JX9K5R4K5MYADC,"['elephant', 'monkey', 'chimpanzee', 'gorilla', 'walrus', 'lemur', 'dog', 'bat', 'cat']","['chicken', 'egg', 'pizza']","['car', 'bicycle']","['squirrel', 'dog', 'tree', 'plant', 'motorcycle', 'planter', 'horse']",['giraffe'],0.18
2021-05-07 22:41:21+09:00,2021-05-07 22:37:59+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3LS2AMNW5H50FDDBY2KM6LVOEE0OQW,A1AZU9E0U16J6B,US,Submitted,2021-05-10 22:41:21+09:00,0:03:22,3A1PQ49WVJW26S779AZHLBQFTI7H1M,"['tree', 'cat']","['pumpkin pie', 'chicken', 'pillow', 'chick', 'flower', 'plant', 'rooster', 'cow', 'turkey', 'cat']","['boat', 'bicycle']","['cup', 'garden', 'tree', 'cheery tree', 'horse']","['net', 'hammock', 'giraffe']",0.18
2021-05-07 22:42:35+09:00,2021-05-07 22:40:41+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3NQL1CS15TN4EZDUQONUEZSY9GEVY8,A182N7RLXGSCZG,US,Submitted,2021-05-10 22:42:35+09:00,0:01:54,3018Q3ZVOK5BPAYA1Y44AGLOKLBRAH,['cat'],"['rug', 'tree', 'pie', 'cake', 'bisquit', 'carpet', 'wall', 'papper', 'tree', 'phone']","['pie', 'bicycle']","['tree', 'pie', 'bike', 'car', 'window', 'man', 'shoe', 'net', 'computer', 'wall']","['tree', 'pie', 'ball', 'balloon', 'mitten', 'cat', 'dog', 'cake', 'dessert', 'hardphones']",0.18
2021-05-07 22:43:06+09:00,2021-05-07 22:38:35+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3NJM2BJS4YLE6CFT8KW6BGBXK4VCPW,A24XBVPC9MYJVX,US,Submitted,2021-05-10 22:43:06+09:00,0:04:31,3EFVCAY5L5OG8YMIWVBHCYT2KIXJ8X,"['tree', 'bush', 'flower', 'house', 'cat']","['sun', 'bowl', 'flower', 'bush', 'egg', 'biscuit', 'food', 'sausage', 'pizza']","['shoe', 'building', 'car', 'bike', 'bicycle']","['duck', 'good', 'goose', 'person', 'peacock', 'horse']","['tree', 'bush', 'forest', 'person', 'house', 'bike', 'giraffe']",0.18
2021-05-07 22:43:25+09:00,2021-05-07 22:42:07+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3RRCEFRB7OR97E14W08NXYUKBN0B4Y,AOG0PUCLMU0HH,US,Submitted,2021-05-10 22:43:25+09:00,0:01:18,3KXIR214I6VFJ118D7FCW5RGGLD24K,['cat'],['pizza'],['bicycle'],['horse'],['giraffe'],0.18
2021-05-07 22:43:59+09:00,2021-05-07 22:41:28+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,30BUDKLTXFAPA0HOKWTN3Y6JEG85EX,A9KE8HAKL9WFB,US,Submitted,2021-05-10 22:43:59+09:00,0:02:31,31LVTDXBL9PSLTPEYPTUJU1ZEZOLRB,"['polar bear', 'dog', 'snow', 'mountain', 'sky', 'cloud', 'ocean', 'elephant', 'wolf', 'cat']","['Fish', 'pizza']",['bicycle'],['horse'],['giraffe'],0.18
2021-05-07 22:44:08+09:00,2021-05-07 22:39:39+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3JBT3HLQFAHRE5Q30YGEMECITMHPZ8,A9WGDBDXUNLOD,US,Submitted,2021-05-10 22:44:08+09:00,0:04:29,3QAPZX2QN6SYKDJ7U6SAK213Z9Y023,"['surfer', 'ocean', 'wave', 'cloth', 'cotton', 'rabbit', 'animal', 'rodent', 'hamster', 'gerbil']","['fireball', 'bomb', 'egg', 'fire', 'chicken', 'pizza']","['brick', 'hoop', 'bicycle']","['cat', 'weapon', 'car', 'horse']","['grass', 'field', 'giraffe']",0.18
2021-05-07 22:44:11+09:00,2021-05-07 22:41:26+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3DR23U6WE7TRV2SELSBL6ECXUJTTEB,A3R7RQCSWU4848,US,Submitted,2021-05-10 22:44:11+09:00,0:02:45,36AHBNMV1TRIKID8Z3N08DMR8BODY8,"['stairs', 'kale', 'flower', 'garden', 'plant', 'dog', 'salad', 'pot', 'eating', 'monkey']",['pizza'],['bicycle'],['horse'],"['dog', 'giraffe']",0.18
2021-05-07 22:44:59+09:00,2021-05-07 22:40:52+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,388U7OUMF9GFOX0S9W7BLA9BCXN0RK,A2SWHTHZD88X5H,US,Submitted,2021-05-10 22:44:59+09:00,0:04:07,3PPTZCWALSZCEHRI0BV3MJ2SXMUQZY,"['tree', 'broccoli', 'rock', 'potato', 'owl', 'burro', 'kangaroo', 'rat', 'mammoth', 'cheese']","['egg', 'flower', 'fabric', 'flower', 'sunflower', 'pizza']",['bicycle'],"['policeman', 'fireman', 'motorcyclist', 'horse']","['dog', 'giraffe']",0.18
2021-05-07 22:46:04+09:00,2021-05-07 22:44:10+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3K4J6M3CXG8K0KPWLNASBC7HJAOAGP,A1S8KMGKJACGVO,US,Submitted,2021-05-10 22:46:04+09:00,0:01:54,3QAVNHZ3EOJ0MC3XWE78O4CPETNALB,"['park', 'elephant', 'dog', 'couch', 'cat']",['pizza'],"['bench', 'bicycle']","['cat', 'butterfly', 'cheetah', 'leopard', 'horse']",['giraffe'],0.18
2021-05-07 22:46:55+09:00,2021-05-07 22:44:58+09:00,36GJS3V78W5SETU7PRI3GRFAM0SGJJ,31JLPPHS2W988C790R8QTD2D4MNO3U,A34CPKFZXBX1PO,US,Submitted,2021-05-10 22:46:55+09:00,0:01:57,31T4R4OBOUVP06BTCY2PBUKCJC37C1,"['elephant', 'zebra', 'koala', 'dolphin', 'bear', 'mouse', 'horse', 'cat']","['chicken', 'pizza']","['bike', 'bicycle']","['bee', 'bird', 'tree', 'horse']",['giraffe'],0.18
2021-05-07 22:46:57+09:00,2021-05-07 22:44:24+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3WI0P0II6379NH1ML8V60HTU6MWRD4,A13GUTDMGGZZDL,US,Submitted,2021-05-10 22:46:57+09:00,0:02:33,392CY0QWG36JUMFA2A04JLYX5HAI4B,"['rock', 'cat']",['pizza'],['bicycle'],"['bicycle', 'horse']","['bird', 'giraffe']",0.18
2021-05-07 22:47:21+09:00,2021-05-07 22:45:18+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3IUZPWIU1QMM9JOICJRZRTW1IA8KWD,A2GQH4SWIOFH2L,US,Submitted,2021-05-10 22:47:21+09:00,0:02:03,3DY46V3X3RXPEHOV9V0KZ4060R155V,"['road', 'horse', 'bird', 'penguin', 'bear', 'fur', 'cat']","['fire', 'pizza']","['car', 'bicycle']","['dog', 'horse']","['tree', 'giraffe']",0.18
2021-05-07 22:47:31+09:00,2021-05-07 22:46:59+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3DEL4X4EL80WIOIPQ3OC2KPJPRNXYE,A34CPKFZXBX1PO,US,Submitted,2021-05-10 22:47:31+09:00,0:00:32,3S96KQ6I9OJM3WEEPX010WUCTBJDT0,['cat'],['pizza'],['bicycle'],['horse'],['giraffe'],0.18
2021-05-07 22:48:22+09:00,2021-05-07 22:45:02+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3WYGZ5XF3YUT2279SEHYU4TGCXBSK5,AH7I3K3OJKA5L,US,Submitted,2021-05-10 22:48:22+09:00,0:03:20,369J354OFFPJDIDTVATGV75VMVP6GT,"['elephant', 'animal', 'dog', 'horse', 'pig', 'boar', 'cat']","['Egg', 'Pizza', 'sandwich', 'dinner', 'cheese', 'spagetti', 'sausage', 'salad', 'bread', 'cheese bread']","['wall', 'screen', 'bricks', 'building', 'bicycle']","['chair', 'mud', 'horse']","['grass', 'tree', 'woods', 'giraffe']",0.18
2021-05-07 22:48:41+09:00,2021-05-07 22:43:48+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3Z9WI9EOZ134CTTTHK5ZQQME3MVHKA,A2I9PUZT19ZBO8,US,Submitted,2021-05-10 22:48:41+09:00,0:04:53,3W92K5RLWWW6CB3AFMIX32U5DF1V5Q,"['tree', 'cow', 'dog', 'animal', 'dogs', 'hunter', 'beagle', 'pooch', 'fox', 'blood']","['mole', 'deer', 'dog', 'pooch', 'land', 'koo', 'w', 'w', 'w', 'e']","['truck', 'beach', 'building', 'store', 'barn', 'train', 'carriage', 'bicycle']","['bench', 'painting', 'cow', 'horse']","['pig', 'zebra', 'giraffe']",0.18
2021-05-07 22:53:52+09:00,2021-05-07 22:53:19+09:00,36GJS3V78W5SETU7PRI3GRFAM0SGJJ,340UGXU9D0GNXQTPGNQ5BEMLDS5VUC,A1S8KMGKJACGVO,US,Submitted,2021-05-10 22:53:52+09:00,0:00:33,3DY46V3X3RXPEHOV9V0KZ4060R155V,['cat'],['pizza'],['bicycle'],"['bench', 'leopard', 'horse']",['giraffe'],0.18
2021-05-07 22:56:33+09:00,2021-05-07 22:54:40+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3A1COHJ8NLAKHSRS8V8W0LDN8M38HK,A3FJ3XMXO8UAJ0,US,Submitted,2021-05-10 22:56:33+09:00,0:01:53,3IAEQB9FMGZEVDI8K25CNG1BX50WD8,['cat'],"['pie', 'pizza']",['bicycle'],"['dog', 'swing', 'car', 'horse']","['Flamingo', 'Giraffe', 'Giraffe', 'Snake', 'giraffe']",0.18
2021-05-07 22:59:34+09:00,2021-05-07 22:58:13+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3KMS4QQVK45KYX2NMUHZN5A1N7KFKC,A1HBD85BK13XD8,US,Submitted,2021-05-10 22:59:34+09:00,0:01:21,3JPSL1DZ5UEQAC6I8RNN1WGEJQ0ANU,['cat'],['pizza'],"['bike', 'scooter', 'bicycle']","['tree', 'dog', 'lamp', 'gate', 'horse']",['giraffe'],0.18
2021-05-07 23:00:35+09:00,2021-05-07 22:57:25+09:00,36GJS3V78W5SETU7PRI3GRFAM0SGJJ,3D4CH1LGEC86V1FRTHWSFHWXDS89GB,A3GTPW3MYSLMR7,US,Submitted,2021-05-10 23:00:35+09:00,0:03:10,3PPTZCWALSZCEHRI0BV3MJ2SXMUQZY,['cat'],"['dog', 'bear', 'trukey', 'turkey', 'pizza']","['bike', 'street', 'bicycle']","['river', 'ocean', 'lake', 'stream', 'forest', 'dog', 'deer', 'sky', 'tree', 'happy']",['giraffe'],0.18
2021-05-07 23:00:52+09:00,2021-05-07 22:56:41+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3E13VNJ1NPA22NIRFSH2LNRUUTBI12,A10L6JFWPRXEKM,US,Submitted,2021-05-10 23:00:52+09:00,0:04:11,3018Q3ZVOK5BPAYA1Y44AGLOKLBRAH,"['hat', 'tree', 'snake', 'cliff', 'horse', 'wolf', 'turtle', 'dog', 'ocean', 'whale']","['food', 'rice', 'seafood', 'pizza']","['beach', 'ship', 'bicycle']","['landscaepe', 'duck', 'walking stick', 'tree branch', 'chair', 'slingshot', 'horse']",['giraffe'],0.18
2021-05-07 23:01:48+09:00,2021-05-07 22:59:10+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3SB4CE2TJXAVM6KMAXAWZY7CM0MXA6,AY4E4CDN0J6JL,US,Submitted,2021-05-10 23:01:48+09:00,0:02:38,3JPSL1DZ5UEQAC6I8RNN1WGEJQ0ANU,"['wolf', 'cat']","['chicken', 'food', 'pizza']","['road', 'bicycle']","['spider', 'fish', 'bear', 'water', 'dog', 'bull', 'horse']","['tree', 'giraffe']",0.18
2021-05-07 23:03:12+09:00,2021-05-07 23:01:50+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3L0KT67Y8GVOM7WQWTIP3C8RACNYS9,A20EUZA6WR0UWY,US,Submitted,2021-05-10 23:03:12+09:00,0:01:22,33FBRBDW6QET0KGCM3UVPUG7UYNC8B,"['airpod', 'headphone', 'fish hook', 'plant', 'flower', 'tree', 'bush', 'window', 'snake', 'frog']",['pizza'],['bicycle'],['horse'],"['grass', 'field', 'forest', 'hill', 'mountain', 'fish', 'frog', 'animal', 'snake', 'tree']",0.18
2021-05-07 23:16:28+09:00,2021-05-07 23:14:39+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,35GCEFQ6I73K7GLG20J79B9HOQUZ3B,A29CNQYJWMJ7G9,US,Submitted,2021-05-10 23:16:28+09:00,0:01:49,3TAYZSBPLNNYLM3J38BUU87MU1G2SR,"['table', 'mouse', 'corpse', 'cat']","['egg', 'pizza']",['bicycle'],"['elephant', 'spider', 'fish', 'lion', 'dog', 'snake', 'human', 'horse']",['giraffe'],0.18
2021-05-07 23:17:40+09:00,2021-05-07 23:14:20+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3LEP4MGT3IFM7AKXPB9G02OQO0YBDG,A1WPCMXFU9NH9G,US,Submitted,2021-05-10 23:17:40+09:00,0:03:20,3S96KQ6I9OJM3WEEPX010WUCTBJDT0,"['coffee cup', 'cat']",['pizza'],"['glasses', 'crab', 'bicycle']",['horse'],"['grass', 'bicycle', 'giraffe']",0.18
2021-05-07 23:18:13+09:00,2021-05-07 23:14:05+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3Z4XG4ZF4A6H3IR7DZQI371HWCP8XG,A25EVN04BC2KJ6,US,Submitted,2021-05-10 23:18:13+09:00,0:04:08,3XCC1ODXDNQ3CQ5RQU1Q0G0TO5ARQ5,"['dog', 'bear', 'woman', 'cat']",['pizza'],['bicycle'],"['Horse', 'Cat', 'Carriage', 'Bicycle', 'Black horse', 'dog', 'car', 'person', 'race', 'marathon runner']","['Giraffe', 'Two Giraffes', 'Giraffes', 'Baby Giraffe', 'Momma and baby Giraffe', 'donkey', 'horse', 'Giraffe', 'Giraffe', 'Giraffe']",0.18
2021-05-07 23:18:30+09:00,2021-05-07 23:16:06+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3TXMY6UCAG3Z6OG88XBVBL17P0NCQT,A1J7C4V2AZSHQX,US,Submitted,2021-05-10 23:18:30+09:00,0:02:24,3KJYX6QCMBQEJAIV4OMR4CDAVGVJVZ,"['cliff', 'wolf', 'bear', 'dog', 'cat']","['lasagna', 'pizza']","['door', 'office', 'apartment', 'house', 'bike', 'store', 'apartment', 'doorway', 'home', 'door']","['trees', 'forest', 'bike', 'garden', 'horse']",['giraffe'],0.18
2021-05-07 23:27:02+09:00,2021-05-07 23:24:09+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3FTOP5WARH3YQ9HF1RY2JJNK2G00JZ,A1X19BA815KYJ4,US,Submitted,2021-05-10 23:27:02+09:00,0:02:53,3S06PH7KSTJLUC25NEGRUQBH1SSD1R,"['flower', 'nest', 'forest', 'coyote', 'kitten', 'farm', 'puppies', 'fur', 'wolf', 'pool']","['planet', 'mars', 'ground', 'maop', 'fire', 'weather', 'volcano', 'wart', 'moon', 'space']","['track', 'bicycle']","['antelope', 'moose', 'deer', 'horse']","['tree', 'road', 'giraffe']",0.18
2021-05-07 23:28:21+09:00,2021-05-07 23:26:41+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3LEP4MGT3IFM7AKXPB9G02OQO00BDI,A2JXPT39AWRES7,US,Submitted,2021-05-10 23:28:21+09:00,0:01:40,336YQZE83XTNMO911UH6G6BSMMP5MJ,"['tree', 'yard', 'rat', 'cat']","['omelets ', 'pizza']","['brick wall', 'door', 'handle', 'telephone', 'bicycle']","['car', 'football player', 'horse']","['deer', 'dog', 'giraffe']",0.18
2021-05-07 23:28:40+09:00,2021-05-07 23:25:18+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3S06PH7KSTJLUC25NEGRUQBH2O91DP,A13CAAOJ5GP4UQ,US,Submitted,2021-05-10 23:28:40+09:00,0:03:22,3J2UYBXQQNRM2E28H84DAFIFFE006K,"['jacket', 'bird', 'bike', 'house', 'dog', 'cat']","['pumpkin', 'pie', 'food', 'jackalantern', 'bird', 'plate', 'pizza']","['bike', 'car', 'bicycle']","['tree', 'cat', 'dog', 'motorcycle', 'house', 'race', 'horse']","['cat', 'giraffe']",0.18
2021-05-07 23:33:11+09:00,2021-05-07 23:30:10+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3NJM2BJS4YLE6CFT8KW6BGBXK43CP4,AWEUE7867RJ7B,US,Submitted,2021-05-10 23:33:11+09:00,0:03:01,32XVDSJFP1CVNRQEJBF8IZ8G2CYM2Z,"['kitten', 'yarn', 'dog', 'cat']","['flower', 'orange', 'pizza']","['telephone booth', 'bicycle']","['drum', 'guitar', 'horse']",['giraffe'],0.18
2021-05-07 23:39:14+09:00,2021-05-07 23:37:39+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3B4YI393VBBRQLKHXNQ0LQKQTRXSSV,A1OQIXAU1SEJ4P,US,Submitted,2021-05-10 23:39:14+09:00,0:01:35,3L70J4KAZI1HO0F5JX9K5R4K5MYADC,"['tree', 'dog', 'fox', 'cat']",['pizza'],"['pool', 'building', 'restaurant', 'bicycle']","['dog', 'deer', 'bear', 'hamster', 'horse']",['giraffe'],0.18
2021-05-07 23:45:58+09:00,2021-05-07 23:41:34+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,33F859I568S3JQPZB7S6RN3OGSVHBZ,A2VGEE0ZIZ8CBQ,US,Submitted,2021-05-10 23:45:58+09:00,0:04:24,3LYA37P8IS2ULGQ7HSV34FJG7DGBKL,"['house', 'plane', 'battery', 'street', 'ocean', 'shaving', 'drinking', 'man', 'bear', 'hair']","['cat', 'dog', 'man', 'pizza']","['boat', 'bicycle']","['yard', 'cat', 'dog', 'car', 'garage', 'golf bag', 'cart', 'horse']","['cat', 'dog', 'giraffe']",0.18
2021-05-07 23:50:17+09:00,2021-05-07 23:46:33+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3IO1LGZLKBC4K37BCCHS3UOXZ8V86R,A231NY4QEQ58PJ,US,Submitted,2021-05-10 23:50:17+09:00,0:03:44,3SPJ033423IVN4D09Z9BBBH4DXZJYA,"['rock', 'dinosaur', 'dragon', 'elephant', 'rhinoceros', 'manatee', 'koala', 'sloth', 'kangaroo', 'cat']","['pumpkin', 'quilt', 'chicken', 'mouse', 'crab', 'seashell', 'lizard', 'crustacean', 'fish', 'eggs']","['street', 'bicycle']","['Tree', 'duck', 'person', 'runner', 'leg', 'costume', 'superhero', 'robot', 'golf clubs', 'jockey']","['horse', 'giraffe']",0.18
2021-05-07 23:51:30+09:00,2021-05-07 23:48:42+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3B837J3LDQBFP6K4IYQVVGFU7PFSR8,ACY3ZOOZMVS7Y,US,Submitted,2021-05-10 23:51:30+09:00,0:02:48,3IX2EGZR7DYMQ31EV4HH3FO7AAIRJE,"['vase', 'hand', 'dog', 'pet', 'dogs', 'pets', 'family', 'living room', 'cat']","['grapefruit', 'oatmeal', 'pasta', 'soup', 'ravioli', 'lava', 'mushrooms', 'fungi', 'pizza']",['bicycle'],"['arm', 'bracelet', 'horse']",['giraffe'],0.18
2021-05-07 23:52:18+09:00,2021-05-07 23:50:47+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3018Q3ZVOK5BPAYA1Y44AGLOLJ9RAC,A1V70LAP4UDYV6,US,Submitted,2021-05-10 23:52:18+09:00,0:01:31,3LOTDFNYA9EBTXW4B802BG4W9IHFW3,"['snake', 'couch', 'cat']","['snake', 'pizza']","['boat', 'bicycle']",['horse'],['giraffe'],0.18
